,Day,Case_by_time,Death_by_time,recovered_by_time
366,02/01/2022,505529,19591,0
367,03/01/2022,506191,19616,0
368,04/01/2022,506865,19637,0
369,05/01/2022,507316,19657,0
370,06/01/2022,507759,19675,0
371,07/01/2022,508255,19693,0
372,08/01/2022,508706,19704,0
373,09/01/2022,509178,19719,0
374,10/01/2022,509616,19736,0
375,11/01/2022,510174,19747,0
376,12/01/2022,510871,19761,0
377,13/01/2022,511574,19773,0
378,14/01/2022,511981,19786,0
379,15/01/2022,512368,19797,0
380,16/01/2022,512664,19806,0
381,17/01/2022,512896,19817,0
382,18/01/2022,513141,19828,0
383,19/01/2022,513407,19834,0
384,20/01/2022,513657,19845,0
385,21/01/2022,513905,19852,0
386,22/01/2022,514135,19860,0
387,23/01/2022,514280,19864,0
388,24/01/2022,514398,19866,0
389,25/01/2022,514510,19867,0
390,26/01/2022,514652,19870,0
391,27/01/2022,514836,19874,0
392,28/01/2022,514989,19878,0
393,29/01/2022,515173,19880,0
394,30/01/2022,515339,19884,0
395,31/01/2022,515510,19887,0
396,01/02/2022,515665,19887,0
397,02/02/2022,515813,19887,0
398,03/02/2022,515949,19898,0
399,04/02/2022,516017,19901,0
400,05/02/2022,516041,19907,0
401,06/02/2022,516085,19911,0
402,07/02/2022,516163,19913,0
403,08/02/2022,516280,19915,0
404,09/02/2022,516500,19915,0
405,10/02/2022,516742,19915,0
406,11/02/2022,517002,19916,0
407,12/02/2022,517303,19917,0
408,13/02/2022,517485,19918,0
409,14/02/2022,517773,19919,0
410,15/02/2022,518116,19921,0
411,16/02/2022,518736,19923,0
412,17/02/2022,519221,19925,0
413,18/02/2022,519936,19927,0
414,19/02/2022,520785,19929,0
415,20/02/2022,521641,19929,0
416,21/02/2022,522438,19930,0
417,22/02/2022,523794,19931,0
418,23/02/2022,525245,19932,0
419,24/02/2022,527711,19932,0
420,25/02/2022,529919,19933,0
421,26/02/2022,531990,19934,0
422,27/02/2022,533962,19935,0
423,28/02/2022,535752,19937,0
424,01/03/2022,537774,19938,0
425,02/03/2022,540520,19938,0
426,03/03/2022,543647,19940,0
427,04/03/2022,546717,19942,0
428,05/03/2022,549719,19943,0
429,06/03/2022,552599,19943,0
430,07/03/2022,554720,19945,0
431,08/03/2022,556220,19946,0
432,09/03/2022,558683,19948,0
433,10/03/2022,562351,19950,0
434,11/03/2022,565391,19950,0
435,12/03/2022,568196,19951,0
436,13/03/2022,570453,19952,0
437,14/03/2022,572612,19954,0
438,15/03/2022,574858,19956,0
439,16/03/2022,576910,19959,0
440,17/03/2022,579280,19961,0
441,18/03/2022,581526,19962,0
442,19/03/2022,582968,19965,0
443,20/03/2022,584430,19967,0
444,21/03/2022,585917,19969,0
445,22/03/2022,587011,19970,0
446,23/03/2022,588593,19972,0
447,24/03/2022,589834,19972,0
448,25/03/2022,590973,19973,0
449,26/03/2022,592032,19974,0
450,27/03/2022,592881,19975,0
451,28/03/2022,593626,19976,0
452,29/03/2022,594360,19977,0
453,30/03/2022,595344,19978,0
454,31/03/2022,596268,19979,0
